days	cf	1g/l	10g/l	20g/l	cm	1m2000	10m2000	 20m2000
0 	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
2 	0.99	0.92	0.97	0.98	0.99	0.96	0.99	0.95
4 	0.94	0.86	0.91	0.96	0.99	0.95	0.93	0.92
6 	0.85	0.73	0.71	0.80	0.96	0.92	0.90	0.83
8 	0.82	0.71	0.60	0.77	0.93	0.89	0.87	0.80
10 	0.81	0.70	0.59	0.75	0.93	0.89	0.86	0.75
12 	0.80	0.69	0.59	0.74	0.92	0.89	0.86	0.73
14 	0.80	0.69	0.59	0.73	0.92	0.89	0.86	0.72
16 	0.80	0.68	0.59	0.68	0.90	0.89	0.85	0.71
18 	0.79	0.67	0.59	0.66	0.90	0.89	0.84	0.70
20 	0.76	0.66	0.58	0.63	0.90	0.89	0.84	0.68
22 	0.76	0.66	0.56	0.60	0.86	0.88	0.82	0.67
24 	0.75	0.66	0.56	0.60	0.84	0.88	0.81	0.67
26 	0.75	0.65	0.56	0.58	0.80	0.88	0.76	0.64
28 	0.74	0.64	0.56	0.57	0.75	0.87	0.74	0.64
30 	0.68	0.60	0.55	0.57	0.74	0.86	0.71	0.60
32 	0.66	0.56	0.52	0.53	0.72	0.82	0.69	0.59
34 	0.62	0.43	0.48	0.48	0.69	0.80	0.63	0.54
36 	0.52	0.29	0.41	0.44	0.65	0.76	0.56	0.52
38 	0.43	0.20	0.38	0.36	0.60	0.75	0.49	0.44
40 	0.21	0.06	0.29	0.22	0.55	0.68	0.42	0.37
42 	0.09	0.04	0.22	0.12	0.41	0.59	0.32	0.31
44 	0.06	0.02	0.14	0.08	0.34	0.51	0.28	0.27
46 	0.02	0.02	0.11	0.04	0.26	0.40	0.25	0.22
48 	0.02	0.01	0.07	0.03	0.20	0.34	0.19	0.19
50 	0.00	0.00	0.06	0.02	0.13	0.28	0.16	0.17
52 	0	0	0.03	0.00	0.09	0.22	0.10	0.09
54 	0	0	0.03	0	0.05	0.14	0.08	0.06
56 	0	0	0.02	0	0.01	0.10	0.06	0.02
58 	0	0	0.00	0	0.00	0.06	0.04	0.01
60	0	0	0	0	0	0.03	0.01	0.01
62	0	0	0	0	0	0.03	0.01	0.00
64	0	0	0	0	0	0.03	0.01	0
66	0	0	0	0	0	0.00	0.00	0
